Select your year group:,Which AI platforms or tools have you used for schoolwork or homework? (Select all that apply),How often do you use AI tools for academic work?,For which subjects do you most commonly use AI tools? (Select all that apply),How do you typically use AI tools for your schoolwork? (Select all that apply),"When you use AI for homework, do you typically:",How do you feel about using AI tools for schoolwork?,How confident are you in your ability to use AI tools effectively and ethically?,Do you currently declare when you've used AI tools in your homework or assignments?,How aware do you think your teachers are of your AI usage?,"How do you feel about teachers using AI in their teaching, e.g. when preparing resources for lessons?",What support would be most helpful from school regarding AI use? (Select up to 3),Have you ever been unsure whether your use of AI was appropriate for a particular assignment or task?,How did you first learn about using AI tools for schoolwork?,Do you primarily use AI tools on:,Are your parents/guardians aware that you use AI tools for schoolwork?,"What has prevented you from using AI tools more, or what concerns do you have? (Select all that apply)","Is there anything else you'd like us to know about your experience with AI tools, or suggestions for how the school could better support students in this area?"
Year 8,Quizlet Chatbot for practice questions;,Rarely,Modern Foreign Languages;,Generating flashcards and questions;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,Somewhat confident,I'm not sure if I'm supposed to,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;Discussion sessions about AI ethics;,"No, never",Family members,Personal devices at school,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,"During group projects, some people will use ChatGPT to do all of their workload - without editing it. It's quite obvious."
Year 8,ChatGPT;,Weekly,"Mathematics;Sciences (Biology, Chemistry, Physics);Humanities;Computer Science;", Getting help understanding difficult concepts;Helping with research and finding information;Solving math problems step-by-step;Creating subject notes;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Subject-specific guidance on appropriate AI use;Nothing - I'm comfortable with my current AI use;Clear guidelines on when AI use is acceptable;,"Yes, occasionally",Family members,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;School policies are unclear;,No
Year 8,"Solvely, Quizlet;",Rarely,Humanities;Computer Science;,Generating ideas for essays or projects;Checking my work for errors;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance, Very confident,Never,Somewhat aware - they have a general idea,Somewhat negative ,Subject-specific guidance on appropriate AI use;Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;,"Yes, frequently",Family members,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Don't have reliable access to AI tools;Concerned about accuracy of AI responses;Cost of premium AI services;Privacy concerns about my data;,"No, thank you."
Year 8,word reference;,Rarely,Modern Foreign Languages;,Looking up specific words for languages;,Looking up specific words for languages,Very negative - prefer not to use them,Somewhat confident,Always,It varies significantly between teachers,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;Discussion sessions about AI ethics;Nothing - I'm comfortable with my current AI use;Training on how to use AI tools effectively;,I haven't really thought about this,Teachers talking about it,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;School policies are unclear;Don't know how to use them effectively;Prefer to do work without AI assistance;Privacy concerns about my data;,No
Year 8,Language translation tools (e.g. Google Translate);,Monthly,Modern Foreign Languages;,Checking my work for errors;Improving my writing style and grammar;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,Sometimes,Somewhat aware - they have a general idea,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;,No
Year 8,Language translation tools (e.g. Google Translate);i dont use googe translate but i use Word referrence ;,Weekly,Modern Foreign Languages;,Translating text between languages;,Use AI to check or improve work I've already created,Unsure/haven't thought about it much,"Unsure what ""effective and ethical"" means in this context",Sometimes,Somewhat aware - they have a general idea,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;,"Yes, occasionally",Teachers or school,Personal devices at school,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Cost of premium AI services;," so I don't really use ai that much I only use Word reference which kind of counts I  think but I don't think it really counts as ai
"
Year 8,Google Bard/Gemini;,Rarely,Modern Foreign Languages;,Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat negative - concerned about over-reliance,Not very confident,Usually,It varies significantly between teachers,Very negative ,Discussion sessions about AI ethics;,"No, never",Friends or classmates,Personal devices at school,I'm not sure if they know,Prefer to do work without AI assistance;,No
Year 8,ChatGPT;,Rarely,depends more on the assignementthan the subject;, Getting help understanding difficult concepts;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Neutral - neither positive nor negative,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Somewhat negative ,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Found them myself through online research,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;,i think banning it entiely will be useless because to be honest i dont think anyone will realy care
Year 8,Grammarly (AI writing assistant);Quillbot (paraphrasing tool);Language translation tools (e.g. Google Translate);,Rarely,"Modern Foreign Languages;Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Checking my work for errors;Helping with research and finding information;Improving my writing style and grammar;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,Sometimes,Not very aware - they might suspect but don't know details, Very positive ,Nothing - I'm comfortable with my current AI use;,"Yes, occasionally",Found them myself through online research,Both school and personal devices equally,"Yes, they know but have concerns",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;Cost of premium AI services;Privacy concerns about my data;,"I think we should be allowed to use AI to help with our studies because I struggle with spelling, so tools like Grammarly help me a lot. Some other students may have the same situation as I, and we should be able to try at least to help everyone who needs it."
Year 8,ChatGPT;Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;Computer Science;, Getting help understanding difficult concepts;Helping with research and finding information;Translating text between languages;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance, Very confident,I'm not sure if I'm supposed to,Not aware at all - they don't know I use AI,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,I haven't really thought about this,Found them myself through online research,Both school and personal devices equally,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Privacy concerns about my data;,No
